"104	39.971894	-83.00514	15	17	"
"66	40.107636	-83.191212	11	22	"
"462	42.3483853172	-71.087710195	6	20	"
"739	42.3301026	-71.1911883	9	21	"
"544	40.036657022	-83.0174416983	9	20	"
"428	30.4338353022	-97.7723154379	10	17	"
"655	42.3483326	-71.082475	9	22	"
"586	40.0065382605	-83.0171574	9	21	"
"114	42.2844023	-71.1695683	10	19	"
"655	28.3398908221	-81.4089242902	11	22	"
"741	45.4903252	-122.796975	9	18	"
"1027	33.756345	-84.389151	10	19	"
"481	42.3283761	-71.0661227	10	15	"
"175	39.950946	-83.3800885	10	22	"
"628	28.333999	-81.531742	13	22	"
"721	45.4850496	-122.6864016	7	16	"
"934	42.3822102	-71.1026536	11	22	"
"739	30.386802	-97.745934	9	19	"
"238	28.6277767	-81.3631244	12	17	"
"721	45.448051	-122.728207	7	16	"
"666	42.3609746	-71.0681147	8	15	"
"1006	30.2045986	-97.8600752	9	18	"
"1050	28.5834965	-80.805963	10	21	"
"95	33.7626226194	-84.3962167	12	20	"
"163	30.2435558506	-97.7303779368	5	14	"
"245	42.4266034	-71.0668425	13	23	"
"722	30.2689112	-97.7416833	14	22	"
"616	30.2363608617	-97.8515993446	1	18	"
"654	40.0366177	-105.259022	10	17	"
"207	45.4937972	-122.7747088	9	18	"
"531	28.646467	-81.269735	7	22	"
"1061	33.864727	-84.4656637	12	17	"
"1135	33.7765451	-84.3849241	10	20	"
"655	33.670137631	-84.4622012973	11	22	"
"906	45.4856372	-122.5946255	8	18	"
"264	33.8426509	-84.370311	11	23	"
"291	45.5237902	-122.6946602	8	22	"
"1084	30.4352469	-97.6829512	9	17	"
"546	45.416976	-122.45767	9	18	"
"906	28.5020797	-81.3391125	10	16	"
"739	45.6367386322	-122.6716886647	10	17	"
"759	42.221014	-71.024823	10	21	"
"759	45.39499	-122.752623	10	20	"
"265	45.5697439	-122.6871463	7	15	"
"65	33.793163	-84.395487	1	13	"
"911	33.772134	-84.2919394	4	21	"
"425	30.268735	-97.745209	8	17	"
"290	45.428332	-122.7248	9	21	"
"439	49.2843082	-123.1081531	10	20	"
"1050	42.4840558	-71.260554	10	22	"
"663	40.0178777266	-105.2795951952	10	18	"
"654	42.338727	-71.0666587	8	20	"
"1135	40.0148148	-83.0003812	10	19	"
"32	28.2260172754	-81.6449944252	3	22	"
"934	30.1922434	-98.0818762	10	21	"
"65	45.5236129	-122.6757955	10	17	"
"116	42.351766	-71.0632409	6	22	"
"471	49.2639205	-123.1717016	9	18	"
"666	45.5520966	-122.6755273	9	16	"
"264	33.8475491	-84.3737958	3	15	"
"297	42.543885	-70.986537	9	17	"
"654	45.487705	-122.578576	8	19	"
"439	28.4688194	-81.4522647	10	21	"
"332	40.0099593	-82.865177	10	19	"
"229	42.3593706	-71.2012219	9	17	"
"1102	40.1057063	-83.1635867	9	21	"
"163	45.4160477657	-122.7200023379	7	13	"
"175	33.7444797995	-84.3685283314	3	19	"
"295	45.362241	-122.598836	9	19	"
"449	45.4170276	-122.7386452	7	19	"
"906	45.5374798	-122.6620797	7	18	"
"1127	30.2594621382	-97.7389745847	4	13	"
"397	45.5187825232	-122.6777845007	10	20	"
"1061	42.360851	-71.056625	10	19	"
"245	33.8170301	-84.3521325	12	16	"
"439	45.559283	-122.6446685	12	16	"
"560	49.28706706	-123.1145096	8	17	"
"290	45.5049094	-122.4989173	7	17	"
"207	45.4917973217	-122.6723984354	10	18	"
"992	33.9208688	-84.4896874	16	21	"
"462	42.459564	-71.2367016	5	22	"
"247	33.9235084	-84.3171823	15	18	"
"332	42.5497241	-71.174033	10	20	"
"440	28.59991	-80.807222	10	21	"
"104	45.5627795	-122.679831	15	20	"
"974	45.5162716	-122.6242353	12	17	"
"654	40.027881	-105.257725	8	19	"
"40	30.2406161182	-97.785448514	10	18	"
"114	42.3650991	-71.0594812	8	21	"
"835	30.3185024	-97.7095945	9	18	"
"82	28.551675	-81.4248078	9	20	"
"343	39.9444898	-83.2689666	9	15	"
"343	49.1777306122	-123.1212959151	10	20	"
"1084	30.26329257	-97.7574306	10	19	"
"229	33.9076632	-84.2690846	6	22	"
"65	42.38197112	-71.1063153124	17	21	"
"425	42.3763888	-71.0533518	0	24	"
"586	42.563975251	-70.9356320497	9	17	"
"663	45.5769685697	-122.6804993884	9	21	"
"83	28.7090833	-81.3297563	8	17	"
"508	30.2474533	-97.7763417	8	17	"
"663	49.2601067	-123.1384529	10	19	"
"264	30.2663969	-97.7377024	10	20	"
"265	40.061089	-82.993845	12	14	"
"336	28.5454466	-81.7281876	10	21	"
"102	30.3085740113	-97.9386644438	10	19	"
"104	42.3715261	-71.2337548	12	23	"
"659	33.8158872051	-84.3129041791	17	22	"
"1128	45.555778	-122.6190803155	10	17	"
"1047	40.07633	-83.12752	11	20	"
"820	45.473215	-122.7770687	11	22	"
"916	45.385004	-122.639953	8	18	"
"906	28.5527443	-81.3794874	10	19	"
"32	33.8862752809	-84.2561250349	9	17	"
"654	39.9865482898	-83.1486796	10	19	"
"934	30.3406864761	-97.9704734311	11	22	"
"560	49.2910179	-123.040352	5	19	"
"531	49.280194	-123.108434	9	21	"
"1061	28.5652994625	-81.3646276258	11	22	"
"1102	30.378742	-97.657437	11	19	"
"759	49.229535	-122.999694	11	19	"
"663	45.5051766	-122.6122009	11	18	"
